#"Time (ps)"	"Potential Energy (kJ/mole)"	"Kinetic Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Box Volume (nm^3)"	"Density (g/mL)"	"Speed (ns/day)"
0.9999999999999453	-4559.910634152726	10042.047585198889	5482.136951046163	260.9161184970815	31.72532862464077	0.8270709776763406	0
1.9999999999998352	-2971.487189892008	11129.53461962659	8158.047429734581	289.17160061180385	33.02941384753412	0.7944161129775474	319
3.000000000000169	-2760.0856146658803	11414.458861732855	8654.373247066975	296.5746054955551	33.64181580743057	0.7799548845068383	321
4.000000000000503	-2544.180259650531	11421.24398237653	8877.063722726	296.7508989583038	34.01898744552644	0.7713074530716323	319
4.9999999999999485	-2888.235059493416	11520.830714977812	8632.595655484396	299.3383975240775	33.25737431383998	0.7889708404239686	319
5.999999999999394	-2536.4575501254435	11549.400245563127	9012.942695437683	300.0807014182147	33.090780147518636	0.7929428815431665	319
6.99999999999884	-2931.0181974277225	11500.714901755564	8569.696704327842	298.815741177169	33.34457724949065	0.7869075192154564	314
7.999999999998286	-2817.7122909191917	11469.250349028036	8651.538058108845	297.9982177688938	32.94475061614769	0.7964576471804854	315
8.999999999999508	-2496.766215040284	11514.00708251819	9017.240867477907	299.16110343337436	32.59190510001949	0.8050802333328205	315
10.00000000000073	-2338.1931776287647	11485.644531235565	9147.4513536068	298.4241773504663	33.14514593027128	0.7916422699687319	316
11.000000000001952	-2795.2870371153595	11403.588477415498	8608.30144030014	296.29216723198454	33.34140305808927	0.7869824349314154	316
12.000000000003174	-2960.70307486845	11233.00884955097	8272.30577468252	291.8601055414297	33.23960387465991	0.7893926372175606	317
13.000000000004396	-2767.7657189231627	11618.627934138756	8850.862215215593	301.8794003033206	32.724278845234736	0.8018235844639777	317
14.000000000005619	-2496.7184135569864	11547.118898326531	9050.400484769545	300.021426627803	33.310383465671244	0.7877152957343202	317
15.00000000000684	-2754.078719667394	11822.398235418834	9068.31951575144	307.173834095224	33.02894941564374	0.7944272835471122	318
16.00000000000806	-2319.8432099216325	10916.381702205166	8596.538492283533	283.6333842880834	33.522974192893294	0.7827198867171933	316
17.00000000000573	-2793.9664267198286	11222.197123826016	8428.230697106188	291.5791913666584	32.87551354320141	0.7981350170607762	316
18.0000000000034	-2875.7094882001597	11820.029726173729	8944.320237973569	307.1122946299293	32.9282228695786	0.7968574151909775	317
19.00000000000107	-2943.988616390736	11537.129384124652	8593.140767733916	299.7618754507037	32.825636336727506	0.7993477504448797	317
19.99999999999874	-2807.803083339699	11446.308311975561	8638.505228635862	297.40212945051434	33.566820141212325	0.7816974754325705	317
